system:index,-75739_37862,-75762_37844,-75793_37907,-75802_37916,-75811_37875,-75820_37812,-75843_37794,-75865_37718,-75887_37628,-75973_37776,-75991_37682,-76054_36923,-76054_37228,-76058_37583,-76081_37413,-76157_37489,-76161_37413,-76161_37588,-76166_36995,-76170_37911,-76175_37799,-76188_37691,-76206_37237,-76220_38320,-76229_38136,-76229_38315,-76265_38190,-76292_38320,-76305_38526,-76305_39164,-76337_38032,-76346_38023,-76346_39178,-76350_38576,-76373_37179,-76386_37237,-76386_37242,-76390_37219,-76390_37251,-76390_37260,-76390_38558,-76390_39151,-76413_38558,-76426_38113,-76431_38122,-76444_38059,-76444_38113,-76449_38086,-76655_38190,-76723_38190,-76768_38172,-76804_38176,imageID,timeMillis,.geo
T2000250_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T2000250,9.68185205E11,"{""type"":""Point"",""coordinates"":[-76.26472183353708,36.83766401353128]}"
T2000251_0,526.5999755859375,532.7999877929688,617.4000244140625,617.4000244140625,541.4000244140625,508.0,520.4000244140625,584.4000244140625,515.5999755859375,507.20001220703125,543.7999877929688,,484.20001220703125,556.0,502.0,477.6000061035156,476.3999938964844,576.0,,556.5999755859375,597.7999877929688,685.0,,503.3999938964844,556.7999877929688,503.3999938964844,556.5999755859375,528.5999755859375,,,765.5999755859375,765.5999755859375,,1286.0,535.4000244140625,544.0,544.0,544.0,544.0,,1269.800048828125,,1269.800048828125,,,776.2000122070312,,,1449.5999755859375,1244.800048828125,1396.800048828125,1349.0,T2000251,9.68270405E11,"{""type"":""Point"",""coordinates"":[-76.26472183353708,36.83766401353128]}"
T2000252_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T2000252,9.68357106E11,"{""type"":""Point"",""coordinates"":[-76.26472183353708,36.83766401353128]}"
T2000253_0,,,,,,,,,509.0,,472.20001220703125,,500.79998779296875,,473.0,492.0,472.6000061035156,431.79998779296875,479.6000061035156,464.20001220703125,486.0,,434.79998779296875,,,,,,,,,,,,549.7999877929688,567.0,567.0,567.0,567.0,,,,,,,,,,,,,,T2000253,9.68446206E11,"{""type"":""Point"",""coordinates"":[-76.26472183353708,36.83766401353128]}"
T2000254_0,,,,,,,,,,,,482.6000061035156,,,,,,,600.5999755859375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T2000254,9.68531406E11,"{""type"":""Point"",""coordinates"":[-76.26472183353708,36.83766401353128]}"
T2000255_0,554.2000122070312,548.7999877929688,507.6000061035156,507.6000061035156,538.2000122070312,552.2000122070312,509.3999938964844,,,522.5999755859375,556.2000122070312,636.2000122070312,545.0,552.2000122070312,582.4000244140625,530.2000122070312,545.0,530.4000244140625,699.2000122070312,556.5999755859375,575.5999755859375,544.7999877929688,514.7999877929688,609.7999877929688,518.5999755859375,609.7999877929688,685.4000244140625,797.7999877929688,,,,,,898.0,562.7999877929688,601.5999755859375,601.5999755859375,601.5999755859375,601.5999755859375,,1106.800048828125,,1106.800048828125,,,,,,,,,,T2000255,9.68618106E11,"{""type"":""Point"",""coordinates"":[-76.26472183353708,36.83766401353128]}"
T2000256_0,,487.0,478.79998779296875,478.79998779296875,485.79998779296875,,,,,472.6000061035156,481.20001220703125,,,483.3999938964844,469.79998779296875,477.0,506.20001220703125,431.3999938964844,,441.79998779296875,461.0,489.79998779296875,472.20001220703125,,538.0,,555.2000122070312,,,,,,,705.7999877929688,509.6000061035156,,,,,,705.7999877929688,,705.7999877929688,,,,,,,,,,T2000256,9.68703306E11,"{""type"":""Point"",""coordinates"":[-76.26472183353708,36.83766401353128]}"
T2000257_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T2000257,9.68790305E11,"{""type"":""Point"",""coordinates"":[-76.26472183353708,36.83766401353128]}"
T2000258_0,,527.2000122070312,,,526.7999877929688,,530.5999755859375,546.4000244140625,,476.6000061035156,484.6000061035156,,,,527.5999755859375,,,511.20001220703125,,,,565.7999877929688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T2000258,9.68875505E11,"{""type"":""Point"",""coordinates"":[-76.26472183353708,36.83766401353128]}"
T2000259_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T2000259,9.68962206E11,"{""type"":""Point"",""coordinates"":[-76.26472183353708,36.83766401353128]}"
T2000260_0,,,,,,,,,,,,,,422.20001220703125,464.0,456.6000061035156,475.3999938964844,,,,565.5999755859375,,,1057.0,878.2000122070312,1057.0,924.0,1253.800048828125,,,726.0,726.0,,601.4000244140625,,,,,,,587.0,,587.0,,,985.0,,,1499.800048828125,,,,T2000260,9.69048005E11,"{""type"":""Point"",""coordinates"":[-76.26472183353708,36.83766401353128]}"
T2000261_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T2000261,9.69134406E11,"{""type"":""Point"",""coordinates"":[-76.26472183353708,36.83766401353128]}"
T2000262_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T2000262,9.69223206E11,"{""type"":""Point"",""coordinates"":[-76.26472183353708,36.83766401353128]}"
T2000263_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T2000263,9.69308406E11,"{""type"":""Point"",""coordinates"":[-76.26472183353708,36.83766401353128]}"
